,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Hawaii
9,Idaho
10,Illinois
11,Indiana
12,Iowa
13,Kansas
14,Kentucky
15,Louisiana
16,Maine
17,Maryland
18,Massachusetts
19,Michigan
20,Minnesota
21,Mississippi
22,Missouri
23,Montana
24,Nebraska
25,Nevada
26,New hampshire
27,New jersey
28,New mexico
29,North carolina
30,North dakota
31,Oklahoma
32,Oregon
33,Pennsylvania
34,Rhode island
35,South carolina
36,South dakota
37,Tennessee
38,Utah
39,Vermont
40,Virginia
41,Washington
42,West virginia
43,Wisconsin
44,Wyoming
