MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
27,23,2,2,68,16,+52,71,2.63,67.2,17.3,+50.0,+1.85
27,20,4,3,58,18,+40,64,2.37,54.3,22.5,+31.8,+1.18
27,20,2,5,60,24,+36,62,2.30,46.8,29.4,+17.4,+0.65
27,18,3,6,56,26,+30,57,2.11,55.2,23.3,+31.9,+1.18
27,12,8,7,31,32,-1,44,1.63,31.9,36.6,-4.7,-0.17
27,12,5,10,26,31,-5,41,1.52,28.4,31.3,-2.9,-0.11
27,11,5,11,31,28,+3,38,1.41,33.9,32.0,+2.0,+0.07
27,11,5,11,26,31,-5,38,1.41,27.1,37.4,-10.3,-0.38
27,11,3,13,28,34,-6,36,1.33,27.5,35.5,-8.1,-0.30
27,9,7,11,27,31,-4,34,1.26,27.8,37.6,-9.9,-0.37
27,9,6,12,32,45,-13,33,1.22,28.3,39.1,-10.8,-0.40
26,8,8,10,27,33,-6,32,1.23,32.7,41.7,-8.9,-0.34
26,8,6,12,26,32,-6,30,1.15,34.4,40.4,-6.0,-0.23
27,8,3,16,20,35,-15,27,1.00,34.0,41.6,-7.6,-0.28
27,7,4,16,23,43,-20,25,0.93,25.6,44.3,-18.8,-0.70
27,5,4,18,21,50,-29,19,0.70,32.3,45.8,-13.5,-0.50
27,4,5,18,20,46,-26,17,0.63,25.8,40.3,-14.5,-0.54
